index,id,miss_distance,name,est_diameter_min,est_diameter_max,relative_velocity,absolute_magnitude,hazardous
9150,3627012,40716457.41885154,(2013 CN129),0.1677084622,0.3750075218,68487.5403529344,21.0,False
9151,3627013,8776447.782398887,(2013 DA),0.04411182,0.0986370281,46813.1862562589,23.9,False
9152,3627014,1917768.877199484,(2013 DB),0.0201629919,0.0450858206,21730.4131084972,25.6,False
9153,3627033,61992301.40639439,(2013 CN128),0.2914439045,0.6516883822,57294.6005360808,19.8,False
9154,3627055,15792687.84669562,(2013 CV129),0.0319561887,0.0714562102,13470.1394000073,24.6,False
9155,3627056,504085.042591148,(2013 CW129),0.0069912523,0.0156329154,59949.6372380664,27.9,False
9156,3627057,67222771.54566804,(2013 CX129),0.2538370294,0.5675968529,40802.4909519343,20.1,False
9157,3627058,19958840.648701128,(2013 CY129),0.0366906138,0.0820427065,47795.0680018008,24.3,False
9158,3627059,5018777.11059511,(2013 DF),0.0319561887,0.0714562102,51025.111083374,24.6,False
9159,3627060,9090678.781524302,(2013 DG),0.0350392641,0.0783501764,24850.4744203124,24.4,False
9160,3627103,23802088.87179713,(2013 CZ133),0.0483676488,0.1081533507,9491.4121711819,23.7,False
9161,3627104,8527856.94771761,(2013 DT),0.0506471459,0.1132504611,72315.0998869867,23.6,False
9162,3627105,5359380.224549854,(2013 DU),0.04411182,0.0986370281,23048.8122916248,23.9,False
9163,3627106,17460991.175508153,(2013 DX),0.0319561887,0.0714562102,17017.0925454707,24.6,False
9164,3627107,10553891.149816925,(2013 DY),0.0201629919,0.0450858206,22371.0573079619,25.6,False
9165,3627108,29917564.227415483,(2013 DZ),0.0699125232,0.1563291544,13104.161176783,22.9,False
9166,3627109,3485365.119016703,(2013 DA1),0.0092162655,0.0206081961,6420.4720751665,27.3,False
9167,3627110,13258879.473651595,(2013 DB1),0.0192555078,0.0430566244,16592.1607660703,25.7,False
9168,3627111,2127679.477176543,(2013 DC1),0.0366906138,0.0820427065,38657.5736131688,24.3,False
9169,3627112,4376101.788796006,(2013 DG1),0.0152951935,0.0342010925,38884.2399885719,26.2,False
9170,3627115,31030506.78154949,(2013 DL1),0.160160338,0.358129403,83552.8630921736,21.1,False
9171,3627116,24040598.50049633,(2013 DM1),0.2914439045,0.6516883822,101157.1368655388,19.8,False
9172,3627117,638381.055101606,(2013 DP1),0.0063760979,0.0142573883,52014.2992188052,28.1,False
9173,3627427,3324467.867579224,(2013 DS9),0.0146067964,0.0326617897,25207.6243157801,26.3,False
9174,3628123,49560654.35158645,(2013 DA15),0.2130860292,0.4764748465,70537.4576709041,20.48,False
9175,3629083,11372048.887067452,(2013 EA),0.1108038821,0.2477650126,28525.3011895693,21.9,False
9176,3629084,394016.135851024,(2013 EB),0.0096506147,0.0215794305,48858.0409585073,27.2,False
9177,3629085,367438.563307037,(2013 EC),0.0073207399,0.016369672,72666.6447761352,27.8,False
9178,3629113,12774887.998084811,(2013 EP),0.02658,0.0594346868,31362.9678516699,25.0,False
9179,3629114,17427125.000260532,(2013 EQ),0.04411182,0.0986370281,23867.3199756775,23.9,False
9180,3629115,5929930.792953504,(2013 ER),0.0201629919,0.0450858206,21099.883672907,25.6,False
9181,3629116,4108678.556973613,(2013 ES),0.0211132445,0.0472106499,29314.1956108977,25.5,False
9182,3629117,975490.206083991,(2013 ET),0.063760979,0.1425738833,42754.9542903198,23.1,False
9183,3630270,39877594.69312216,(2013 EO4),0.0699125232,0.1563291544,21489.3299564854,22.9,False
9184,3630271,10544585.384394,(2013 EQ4),0.0608912622,0.1361570015,28545.5325507587,23.2,False
9185,3630272,4125527.750111926,(2013 ER4),0.02658,0.0594346868,32233.8263223255,25.0,False
9186,3630273,7795559.726130408,(2013 EP4),0.022108281,0.0494356193,35345.2054366857,25.4,False
9187,3630636,37510939.72451945,(2013 ES9),0.1160259082,0.2594418179,44572.4100461239,21.8,False
9188,3630638,14230127.847091526,(2013 EU9),0.1237527837,0.2767196367,9251.9602811089,21.66,False
9189,3630815,2425082.466222037,(2013 ES11),0.0483676488,0.1081533507,38185.0160333699,23.7,False
9190,3630816,5711520.984469626,(2013 ET11),0.022108281,0.0494356193,45930.6950234807,25.4,False
9191,3630817,150076.28398826,(2013 EC20),0.0042126461,0.0094197631,12862.8642210983,29.0,False
9192,3631789,446709.487274095,(2013 EN20),0.0040230458,0.0089958039,26302.1249828885,29.1,False
9193,3631790,17791722.19138351,(2013 EO20),0.0319561887,0.0714562102,28636.7948824553,24.6,False
9194,3631820,1166104.685442508,(2013 EV27),0.0105816886,0.023661375,45073.7747961095,27.0,False
9195,3631821,49806242.90661471,(2013 EW27),0.6991252322,1.5632915441,79679.3735701249,17.9,True
9196,3631822,36837459.53844526,(2013 EY27),0.1677084622,0.3750075218,44900.4556801541,21.0,False
9197,3631823,30284382.61779265,(2013 EC28),0.1925550782,0.4305662442,32616.0964975063,20.7,False
9198,3631824,27912583.098118927,(2013 ED28),0.1332155667,0.2978790628,95290.8596331242,21.5,True
9199,3631850,24817289.53327688,(2013 EK28),0.0555334912,0.1241766613,15978.7611266427,23.4,False
9200,3631851,22772786.72613671,(2013 EL28),0.0880146521,0.1968067451,16097.9568070206,22.4,False
9201,3631865,1359163.444398955,(2013 EA29),0.0133215567,0.0297879063,52461.4858179379,26.5,False
9202,3631970,12547609.579073723,(2013 EA34),0.0366906138,0.0820427065,80392.945986167,24.3,False
9203,3631971,8742687.208287703,(2013 EB34),0.0305179233,0.0682401509,59116.7750030201,24.7,False
9204,3631991,1895726.782958583,(2013 EQ41),0.0211132445,0.0472106499,27660.3867199451,25.5,False
9205,3631992,9915493.743668128,(2013 ER41),0.058150704,0.130028927,47511.5186311067,23.3,False
9206,3631993,2479849.438600539,(2013 ES41),0.0127219879,0.0284472297,33486.5287476542,26.6,False
9207,3632076,6324133.11831353,(2013 EC68),0.040230458,0.0899580388,29670.0066270886,24.1,False
9208,3632077,536474.223108469,(2013 ED68),0.0066765941,0.0149293183,23952.813280212,28.0,False
9209,3632078,3440272.207057278,(2013 EE68),0.040230458,0.0899580388,44171.1718585258,24.1,False
9210,3632079,2357982.914716901,(2013 EF68),0.0183888672,0.0411187571,60785.611599686,25.8,False
9211,3632080,4560639.842031715,(2013 EG68),0.0278326768,0.0622357573,59008.7445393848,24.9,False
9212,3632081,10411073.32456149,(2013 EH68),0.0732073989,0.1636967205,75521.9847232789,22.8,False
9213,3632236,18493869.39841177,(2013 EH89),0.2347226375,0.5248557734,47682.9380455718,20.27,False
9214,3632237,10577543.231294552,(2013 EJ89),0.0366906138,0.0820427065,32665.919672398,24.3,False
9215,3632238,39264665.53147216,(2013 EK89),0.1272198785,0.2844722965,27375.4448774338,21.6,False
9216,3632239,1766333.571361209,(2013 EL89),0.0160160338,0.0358129403,32110.7275812578,26.1,False
9217,3632240,6579759.854976434,(2013 EM89),0.0167708462,0.0375007522,5877.6059758494,26.0,False
9218,3632241,5037287.019607867,(2013 EN89),0.0121494041,0.0271668934,13946.2159016889,26.7,False
9219,3632242,15880090.10304738,(2013 EO89),0.0211132445,0.0472106499,25309.4143657714,25.5,False
